kind,club_dbid,club_dbid_text,ttea_large,ttea_large_text,club_name,city_dbid,city_dbid_text,city_large,city_large_text,city_name,nation_dbid,nation_dbid_text,nnat_large,nnat_large_text,nation_name
club,1536,"=""1536""",6597069768192,"=""6597069768192""",Aberdeen (Men),,,,,,,,,,
club,1538,"=""1538""",6605659702786,"=""6605659702786""",Albion Rovers (Men),,,,,,,,,,
club,1539,"=""1539""",6609954670083,"=""6609954670083""",Alloa (Men),,,,,,,,,,
club,1540,"=""1540""",6614249637380,"=""6614249637380""",Annan Athletic (Men),,,,,,,,,,
club,1541,"=""1541""",6618544604677,"=""6618544604677""",Arbroath (Men),,,,,,,,,,
club,1542,"=""1542""",6622839571974,"=""6622839571974""",,,,,,,,,,,
club,1543,"=""1543""",6627134539271,"=""6627134539271""",,,,,,,,,,,
club,1544,"=""1544""",6631429506568,"=""6631429506568""",,,,,,,,,,,
club,1545,"=""1545""",6635724473865,"=""6635724473865""",,,,,,,,,,,
club,1546,"=""1546""",6640019441162,"=""6640019441162""",,,,,,,,,,,
club,1570,"=""1570""",6743098656290,"=""6743098656290""",Rangers,,,,,,,,,,
club,105013,"=""105013""",451027400759861,"=""451027400759861""",,,,,,,,,,,
club,5201477,"=""5201477""",22340173611097669,"=""22340173611097669""",,,,,,,,,,,
club,5201478,"=""5201478""",22340177906064966,"=""22340177906064966""",,,,,,,,,,,
club,5201479,"=""5201479""",22340182201032263,"=""22340182201032263""",,,,,,,,,,,
club,5201480,"=""5201480""",22340186495999560,"=""22340186495999560""",,,,,,,,,,,
club,5201482,"=""5201482""",22340195085934154,"=""22340195085934154""",Arbroath Vics (Men),,,,,,,,,,
club,5201483,"=""5201483""",22340199380901451,"=""22340199380901451""",Annbank Utd (Men),,,,,,,,,,
club,5201484,"=""5201484""",22340203675868748,"=""22340203675868748""",,,,,,,,,,,
club,5201485,"=""5201485""",22340207970836045,"=""22340207970836045""",,,,,,,,,,,
club,5201516,"=""5201516""",22340341114822252,"=""22340341114822252""",,,,,,,,,,,
club,5201517,"=""5201517""",22340345409789549,"=""22340345409789549""",,,,,,,,,,,
club,5201518,"=""5201518""",22340349704756846,"=""22340349704756846""",,,,,,,,,,,
club,5201519,"=""5201519""",22340353999724143,"=""22340353999724143""",,,,,,,,,,,
club,5201520,"=""5201520""",22340358294691440,"=""22340358294691440""",,,,,,,,,,,
club,5201522,"=""5201522""",22340366884626034,"=""22340366884626034""",,,,,,,,,,,
club,5201523,"=""5201523""",22340371179593331,"=""22340371179593331""",,,,,,,,,,,
club,5201524,"=""5201524""",22340375474560628,"=""22340375474560628""",,,,,,,,,,,
club,5201525,"=""5201525""",22340379769527925,"=""22340379769527925""",,,,,,,,,,,
club,5201527,"=""5201527""",22340388359462519,"=""22340388359462519""",,,,,,,,,,,
club,5201528,"=""5201528""",22340392654429816,"=""22340392654429816""",,,,,,,,,,,
club,5201529,"=""5201529""",22340396949397113,"=""22340396949397113""",,,,,,,,,,,
club,5201530,"=""5201530""",22340401244364410,"=""22340401244364410""",,,,,,,,,,,
club,5201531,"=""5201531""",22340405539331707,"=""22340405539331707""",,,,,,,,,,,
club,5201533,"=""5201533""",22340414129266301,"=""22340414129266301""",,,,,,,,,,,
club,5201534,"=""5201534""",22340418424233598,"=""22340418424233598""",,,,,,,,,,,
club,5201700,"=""5201700""",22341131388804900,"=""22341131388804900""",,,,,,,,,,,
club,5201704,"=""5201704""",22341148568674088,"=""22341148568674088""",Abbey Vale (Men),,,,,,,,,,
club,5201865,"=""5201865""",22341840058408905,"=""22341840058408905""",,,,,,,,,,,
club,5203872,"=""5203872""",22350460057773984,"=""22350460057773984""",Airdrieonians (Men),,,,,,,,,,
club,61016133,"=""61016133""",262062295824402501,"=""262062295824402501""",,,,,,,,,,,
club,61016134,"=""61016134""",262062300119369798,"=""262062300119369798""",,,,,,,,,,,
club,61016136,"=""61016136""",262062308709304392,"=""262062308709304392""",Alness Utd (Men),,,,,,,,,,
club,61044149,"=""61044149""",262182623628195253,"=""262182623628195253""",,,,,,,,,,,
club,61044150,"=""61044150""",262182627923162550,"=""262182627923162550""",,,,,,,,,,,
club,61044151,"=""61044151""",262182632218129847,"=""262182632218129847""",,,,,,,,,,,
club,61044152,"=""61044152""",262182636513097144,"=""262182636513097144""",,,,,,,,,,,
club,61045175,"=""61045175""",262187030264641975,"=""262187030264641975""",,,,,,,,,,,
club,61058073,"=""61058073""",262242426752838681,"=""262242426752838681""",,,,,,,,,,,
club,61058292,"=""61058292""",262243367350676724,"=""262243367350676724""",,,,,,,,,,,
club,61072174,"=""61072174""",262302990086693678,"=""262302990086693678""",Aberdeen Uni (Men),,,,,,,,,,
club,61085110,"=""61085110""",262358549783647670,"=""262358549783647670""",,,,,,,,,,,
club,2000031056,"=""2000031056""",8590067978504375632,"=""8590067978504375632""",,,,,,,,,,,
club,2000091995,"=""2000091995""",8590329709516487515,"=""8590329709516487515""",,,,,,,,,,,
club,2000094650,"=""2000094650""",8590341112654661050,"=""8590341112654661050""",,,,,,,,,,,
club,2000372129,"=""2000372129""",8591532875885265313,"=""8591532875885265313""",,,,,,,,,,,
city,,,,,,102581,"=""102581""",440582040293557,"=""440582040293557""",Aberdeen,,,,,
city,,,,,,102587,"=""102587""",440607810097339,"=""440607810097339""",,,,,,
city,,,,,,102590,"=""102590""",440620694999230,"=""440620694999230""",,,,,,
city,,,,,,102592,"=""102592""",440629284933824,"=""440629284933824""",,,,,,
city,,,,,,102597,"=""102597""",440650759770309,"=""440650759770309""",,,,,,
city,,,,,,102598,"=""102598""",440655054737606,"=""440655054737606""",,,,,,
city,,,,,,102600,"=""102600""",440663644672200,"=""440663644672200""",,,,,,
city,,,,,,102602,"=""102602""",440672234606794,"=""440672234606794""",,,,,,
city,,,,,,5202164,"=""5202164""",22343124253630708,"=""22343124253630708""",,,,,,
city,,,,,,5202165,"=""5202165""",22343128548598005,"=""22343128548598005""",,,,,,
city,,,,,,5202166,"=""5202166""",22343132843565302,"=""22343132843565302""",,,,,,
city,,,,,,5202167,"=""5202167""",22343137138532599,"=""22343137138532599""",,,,,,
city,,,,,,5202168,"=""5202168""",22343141433499896,"=""22343141433499896""",,,,,,
city,,,,,,5202169,"=""5202169""",22343145728467193,"=""22343145728467193""",,,,,,
city,,,,,,5202170,"=""5202170""",22343150023434490,"=""22343150023434490""",,,,,,
city,,,,,,5202171,"=""5202171""",22343154318401787,"=""22343154318401787""",,,,,,
city,,,,,,5202172,"=""5202172""",22343158613369084,"=""22343158613369084""",,,,,,
city,,,,,,5202173,"=""5202173""",22343162908336381,"=""22343162908336381""",,,,,,
city,,,,,,5202174,"=""5202174""",22343167203303678,"=""22343167203303678""",,,,,,
city,,,,,,5202175,"=""5202175""",22343171498270975,"=""22343171498270975""",,,,,,
city,,,,,,5202176,"=""5202176""",22343175793238272,"=""22343175793238272""",,,,,,
city,,,,,,5202177,"=""5202177""",22343180088205569,"=""22343180088205569""",,,,,,
city,,,,,,5202178,"=""5202178""",22343184383172866,"=""22343184383172866""",,,,,,
city,,,,,,5202179,"=""5202179""",22343188678140163,"=""22343188678140163""",,,,,,
city,,,,,,5202180,"=""5202180""",22343192973107460,"=""22343192973107460""",,,,,,
city,,,,,,5202181,"=""5202181""",22343197268074757,"=""22343197268074757""",,,,,,
city,,,,,,5202182,"=""5202182""",22343201563042054,"=""22343201563042054""",,,,,,
city,,,,,,5202183,"=""5202183""",22343205858009351,"=""22343205858009351""",,,,,,
city,,,,,,5202184,"=""5202184""",22343210152976648,"=""22343210152976648""",,,,,,
city,,,,,,5202185,"=""5202185""",22343214447943945,"=""22343214447943945""",,,,,,
city,,,,,,5202186,"=""5202186""",22343218742911242,"=""22343218742911242""",,,,,,
city,,,,,,5202187,"=""5202187""",22343223037878539,"=""22343223037878539""",,,,,,
city,,,,,,5202188,"=""5202188""",22343227332845836,"=""22343227332845836""",,,,,,
city,,,,,,5202190,"=""5202190""",22343235922780430,"=""22343235922780430""",,,,,,
city,,,,,,5202191,"=""5202191""",22343240217747727,"=""22343240217747727""",,,,,,
city,,,,,,5202192,"=""5202192""",22343244512715024,"=""22343244512715024""",,,,,,
city,,,,,,5202193,"=""5202193""",22343248807682321,"=""22343248807682321""",,,,,,
city,,,,,,5202194,"=""5202194""",22343253102649618,"=""22343253102649618""",,,,,,
city,,,,,,5202195,"=""5202195""",22343257397616915,"=""22343257397616915""",,,,,,
city,,,,,,5202302,"=""5202302""",22343716959117694,"=""22343716959117694""",,,,,,
city,,,,,,5202309,"=""5202309""",22343747023888773,"=""22343747023888773""",,,,,,
city,,,,,,61016113,"=""61016113""",262062209925056561,"=""262062209925056561""",,,,,,
city,,,,,,61016114,"=""61016114""",262062214220023858,"=""262062214220023858""",,,,,,
city,,,,,,61016115,"=""61016115""",262062218514991155,"=""262062218514991155""",,,,,,
city,,,,,,61026146,"=""61026146""",262105301331947362,"=""262105301331947362""",,,,,,
city,,,,,,61044687,"=""61044687""",262184934320601039,"=""262184934320601039""",,,,,,
city,,,,,,61058221,"=""61058221""",262243062407998637,"=""262243062407998637""",,,,,,
city,,,,,,61058222,"=""61058222""",262243066702965934,"=""262243066702965934""",,,,,,
city,,,,,,61058239,"=""61058239""",262243139717409983,"=""262243139717409983""",,,,,,
city,,,,,,61058246,"=""61058246""",262243169782181062,"=""262243169782181062""",,,,,,
city,,,,,,61058269,"=""61058269""",262243268566428893,"=""262243268566428893""",,,,,,
city,,,,,,2000087267,"=""2000087267""",8590309402911107299,"=""8590309402911107299""",,,,,,
city,,,,,,2000092639,"=""2000092639""",8590332475475426783,"=""8590332475475426783""",,,,,,
city,,,,,,2000095972,"=""2000095972""",8590346790601427684,"=""8590346790601427684""",,,,,,
city,,,,,,2000376075,"=""2000376075""",8591549823826219275,"=""8591549823826219275""",,,,,,
nation,,,,,,,,,,,793,"=""793""",3405909066521,"=""3405909066521""",scotland
